start_time,memory_rss,memory_vms,cpu_percent
01/09/2024 14:37:23,326459392,431972352,0.0
01/09/2024 14:37:24,326483968,431972352,0.0
01/09/2024 14:37:25,326488064,430911488,0.0
01/09/2024 14:37:26,326512640,430911488,0.0
01/09/2024 14:37:27,326537216,430911488,0.0
01/09/2024 14:37:28,326565888,430911488,0.0
01/09/2024 14:37:29,326590464,430911488,0.0
01/09/2024 14:37:30,326676480,431972352,0.0
01/09/2024 14:37:31,326705152,432496640,0.0
01/09/2024 14:37:32,326729728,432496640,0.0
01/09/2024 14:37:33,326778880,432463872,0.0
01/09/2024 14:37:36,326877184,431431680,0.0
01/09/2024 14:37:37,327114752,431431680,0.0
01/09/2024 14:37:38,327364608,431456256,0.0
01/09/2024 14:37:39,327389184,431456256,0.0
01/09/2024 14:37:40,327413760,431456256,0.0
01/09/2024 14:37:41,327438336,431456256,0.0
01/09/2024 14:37:42,327462912,431456256,0.0
01/09/2024 14:37:43,327491584,431456256,0.0
01/09/2024 14:37:44,327516160,431456256,0.0
01/09/2024 14:37:45,327540736,431456256,0.0
01/09/2024 14:37:46,327565312,431456256,0.0
01/09/2024 14:37:47,327589888,431456256,0.0
01/09/2024 14:37:48,327614464,431456256,0.0
01/09/2024 14:37:49,327643136,431456256,0.0
01/09/2024 14:37:50,327745536,433041408,0.0
01/09/2024 14:37:51,327774208,433041408,0.0
01/09/2024 14:37:52,327798784,433041408,0.0
01/09/2024 14:37:53,327835648,433041408,0.0
01/09/2024 14:37:54,327864320,433041408,0.0
01/09/2024 14:37:55,327872512,431984640,0.0
01/09/2024 14:37:56,327897088,431984640,0.0
01/09/2024 14:37:57,327921664,431984640,0.0
01/09/2024 14:37:58,327946240,431984640,0.0
01/09/2024 14:37:59,327970816,431984640,0.0
01/09/2024 14:38:00,328060928,433041408,0.0
01/09/2024 14:38:01,328085504,433041408,0.0
01/09/2024 14:38:02,328110080,433041408,0.0
01/09/2024 14:38:03,328134656,433041408,0.0
01/09/2024 14:38:04,328159232,433041408,0.0
01/09/2024 14:38:05,328163328,431984640,1.6
01/09/2024 14:38:06,328196096,431984640,35.4
01/09/2024 14:38:07,326393856,432455680,42.2
01/09/2024 14:38:08,331931648,437702656,99.9
01/09/2024 14:38:09,326307840,432189440,48.4
01/09/2024 14:38:10,324902912,431140864,6.3
01/09/2024 14:38:11,331517952,437436416,68.8
01/09/2024 14:38:12,327708672,433762304,10.9
01/09/2024 14:38:13,334503936,440582144,0.0
01/09/2024 14:38:14,334528512,440582144,7.7
01/09/2024 14:38:15,324308992,430092288,9.4
01/09/2024 14:38:16,330588160,436387840,20.3
01/09/2024 14:38:17,348078080,453328896,32.8
01/09/2024 14:38:18,326848512,431665152,56.2
01/09/2024 14:38:19,326750208,431665152,28.1
01/09/2024 14:38:20,323600384,429043712,1.6
01/09/2024 14:38:21,324177920,429043712,76.5
01/09/2024 14:38:22,354635776,464089088,53.1
01/09/2024 14:38:23,331440128,439947264,98.4
01/09/2024 14:38:24,352944128,463020032,112.5
01/09/2024 14:38:25,335810560,443011072,76.6
01/09/2024 14:38:26,350494720,457183232,75.0
01/09/2024 14:38:27,330833920,437747712,4.6
01/09/2024 14:38:28,328470528,435650560,0.0
01/09/2024 14:38:29,328568832,435650560,76.5
01/09/2024 14:38:30,342245376,448860160,51.6
01/09/2024 14:38:31,339947520,446668800,164.1
01/09/2024 14:38:32,342306816,448839680,181.1
01/09/2024 14:38:33,358944768,458682368,45.3
01/09/2024 14:38:34,349556736,456044544,68.7
01/09/2024 14:38:35,355565568,461475840,54.7
01/09/2024 14:38:37,382300160,480194560,43.8
01/09/2024 14:38:38,360341504,464441344,100.0
01/09/2024 14:38:39,356478976,460566528,157.9
01/09/2024 14:38:40,346566656,450592768,33.8
01/09/2024 14:38:41,367988736,471609344,98.4
01/09/2024 14:38:42,357109760,459546624,115.7
01/09/2024 14:38:43,352645120,454283264,103.1
01/09/2024 14:38:44,367378432,469180416,89.0
01/09/2024 14:38:45,366723072,467755008,37.5
01/09/2024 14:38:46,366354432,467402752,59.4
01/09/2024 14:38:47,386994176,487890944,101.6
01/09/2024 14:38:48,389529600,491315200,64.0
01/09/2024 14:38:49,380518400,481710080,128.2
01/09/2024 14:38:50,373231616,473460736,98.5
01/09/2024 14:38:51,386265088,486125568,129.6
01/09/2024 14:38:52,378429440,477544448,67.2
01/09/2024 14:38:53,380964864,478597120,93.7
01/09/2024 14:38:54,382173184,479150080,110.8
01/09/2024 14:38:55,388800512,486051840,129.7
